package_name,binary_name,version,os,arch,package_sha1,package_sha256,binary_sha1,binary_sha256
rclone-v1.62.2-linux-amd64.deb,rclone,v1.62.2,linux,amd64,e1b532773a36b3b4a1fbb4d287ccc630d9fc750e,fd2d74fdf5e1fb90939c7b1902c0871aab404541f613978cfe3bb67e5da2b7f9,8e3e4c959e63cbd984b60e8e0fcba08c3c504b41,c6f738e29e457289f2860959eeceaa4853c8c579574664783186d823ffa70711
rclone-v1.62.2-linux-amd64.rpm,rclone,v1.62.2,linux,amd64,fadc6c29b9621f5f7ee31315393f6da7d15561fe,aca70fd97d3c7234ce29a5515db0c47c64337b6671756a0ab9e4cbe46fe81958,8e3e4c959e63cbd984b60e8e0fcba08c3c504b41,c6f738e29e457289f2860959eeceaa4853c8c579574664783186d823ffa70711
rclone-v1.62.2-linux-amd64.zip,rclone,v1.62.2,linux,amd64,c6bad7e0b0ca1184d5a02cc1fa325fa39dfe6a30,6c8676dc56e3d2e26358b5bae616ab3ec95e26181cd9b8692e101dcc0fc966a1,8e3e4c959e63cbd984b60e8e0fcba08c3c504b41,c6f738e29e457289f2860959eeceaa4853c8c579574664783186d823ffa70711
rclone-v1.62.2-linux-arm-v6.deb,rclone,v1.62.2,linux,arm-v6,9dc560e1f16a7482960b7b9f523357dc88268ab9,dd53ac86689c6ca265dd0d8f1034e7abd37a250cb947cb086c7118696d4e3ec3,8ce185ff0aa3352f5e773507b92edba4c93bcc0a,e40040d2f6c59a16dd125c08a7794a661ce3e17b287372a8874997962327162a
rclone-v1.62.2-linux-arm-v6.rpm,rclone,v1.62.2,linux,arm-v6,7a4ddf7a96e961f20c46ab931bdda98fd039274a,2a62cd957adb970baa5fd244856516952c33194ae336a49f9b6727561cc48928,8ce185ff0aa3352f5e773507b92edba4c93bcc0a,e40040d2f6c59a16dd125c08a7794a661ce3e17b287372a8874997962327162a
rclone-v1.62.2-linux-arm-v6.zip,rclone,v1.62.2,linux,arm-v6,04b894a203b482ace4c6177e5c287097599a6f7a,310cc90d4dc88a16e78873ceb1eb4e337e8039ec392df36073900b766585d0fb,8ce185ff0aa3352f5e773507b92edba4c93bcc0a,e40040d2f6c59a16dd125c08a7794a661ce3e17b287372a8874997962327162a
rclone-v1.62.2-linux-arm-v7.deb,rclone,v1.62.2,linux,arm-v7,2b0316aedbee917fb0f5eaffb86b8fbcf0b36589,abdf790219be588e22ec8260139552bc1034d97d40003e2cb5873c5398c3aa35,25a6e66738f652e35379b27ba04bf857610d4f98,4ca31836c29797d5419ae8d1c3136725ede334cffe0a19fc372610253cbfd395
rclone-v1.62.2-linux-arm-v7.rpm,rclone,v1.62.2,linux,arm-v7,edcbffe9ccfc577b2123c757c143003b40ac91e2,fad42d5e34aab145ea9f1a1f6ecf034a0b40a1a7ad7b31be6f005d0c07e13657,25a6e66738f652e35379b27ba04bf857610d4f98,4ca31836c29797d5419ae8d1c3136725ede334cffe0a19fc372610253cbfd395
rclone-v1.62.2-linux-arm-v7.zip,rclone,v1.62.2,linux,arm-v7,511755efa17eafce1a244cc57fc2aaadfeefdb62,2249bab380b8772c79a3f47caf4f0538e11c8e10acdc13c5292033fc403b10e9,25a6e66738f652e35379b27ba04bf857610d4f98,4ca31836c29797d5419ae8d1c3136725ede334cffe0a19fc372610253cbfd395
rclone-v1.62.2-linux-arm.deb,rclone,v1.62.2,linux,arm,70c0b9986057a9523da9240d4994e9675c0f5aaf,dbe8f08cde1240ef9425df1a9412d4810d1bc9cbeada6b4129da15492e118af1,e0a1de9730b2757b50a1b550f0612ef159e374bf,d019a386d2962dd824cfb8fd971e592d529dda093fb8c384278ef4fcf348c5e3
rclone-v1.62.2-linux-arm.rpm,rclone,v1.62.2,linux,arm,571b198311e49e11ab75cb04df76159829814e94,a729d963fcf9c8fa5dab77203d950fe091b15477c8ec598e5604acb2e191c8cf,e0a1de9730b2757b50a1b550f0612ef159e374bf,d019a386d2962dd824cfb8fd971e592d529dda093fb8c384278ef4fcf348c5e3
rclone-v1.62.2-linux-arm.zip,rclone,v1.62.2,linux,arm,8bdbf1b8a6ab42630a155bac50bab73540edf126,a6adb2db09d7d3a546e55248375ec27eb235caff4707c3e5c5c669f5365edbb1,e0a1de9730b2757b50a1b550f0612ef159e374bf,d019a386d2962dd824cfb8fd971e592d529dda093fb8c384278ef4fcf348c5e3
rclone-v1.62.2-linux-arm64.deb,rclone,v1.62.2,linux,arm64,7adac51ae40f87af9b41164203b73191c9e24749,0823b0c96929973ad48989eb8195d937af62902d98b15ab2d33a83b74d719e2f,db5d5a22c7a5376890ee3fb2e4aed0095a1e2cff,a6cddee21020c4f1891aa43b36d30633ad8f28b804314ab076d2af1eb5c28da9
rclone-v1.62.2-linux-arm64.rpm,rclone,v1.62.2,linux,arm64,b6375634455a714012b9221f87e0da958e7f9e78,ceb97d1ab5525c1d833ca8bc63276818ed3065832fc0a23702f308b9a2c256fb,db5d5a22c7a5376890ee3fb2e4aed0095a1e2cff,a6cddee21020c4f1891aa43b36d30633ad8f28b804314ab076d2af1eb5c28da9
rclone-v1.62.2-linux-arm64.zip,rclone,v1.62.2,linux,arm64,fe894cada115f2c649868a3761dfd50862a71ff9,e921f0ac3edb45ea8f1c6b8110ed0be263aaedfb6a5ee98968d5836d3f1aadfc,db5d5a22c7a5376890ee3fb2e4aed0095a1e2cff,a6cddee21020c4f1891aa43b36d30633ad8f28b804314ab076d2af1eb5c28da9
